Id,Name,FullText,FileName,ContentId,UserId,CreatedDate,Grade,IsClosed,ModifiedDate
20,Solution - User 28 - Content 62,Solution - User 28 - Content 62,file_0020,62,28,2025-09-07 00:00:00+00,83,true,2025-09-07 00:00:00+00
21,Solution - User 29 - Content 62,Solution - User 29 - Content 62,file_0021,62,29,2025-09-03 00:00:00+00,72,true,2025-09-03 00:00:00+00
22,Solution - User 30 - Content 62,Solution - User 30 - Content 62,file_0022,62,30,2025-09-06 00:00:00+00,69,true,2025-09-06 00:00:00+00
23,Solution - User 31 - Content 62,Solution - User 31 - Content 62,file_0023,62,31,2025-09-05 00:00:00+00,90,true,2025-09-05 00:00:00+00
24,Solution - User 32 - Content 62,Solution - User 32 - Content 62,file_0024,62,32,2025-09-04 00:00:00+00,49,true,2025-09-04 00:00:00+00
25,Solution - User 33 - Content 62,Solution - User 33 - Content 62,file_0025,62,33,2025-09-06 00:00:00+00,50,true,2025-09-06 00:00:00+00
26,Solution - User 34 - Content 62,Solution - User 34 - Content 62,file_0026,62,34,2025-09-07 00:00:00+00,56,true,2025-09-07 00:00:00+00
27,Solution - User 35 - Content 62,Solution - User 35 - Content 62,file_0027,62,35,2025-09-02 00:00:00+00,55,true,2025-09-02 00:00:00+00
28,Solution - User 36 - Content 62,Solution - User 36 - Content 62,file_0028,62,36,2025-09-04 00:00:00+00,92,true,2025-09-04 00:00:00+00
29,Solution - User 37 - Content 62,Solution - User 37 - Content 62,file_0029,62,37,2025-09-05 00:00:00+00,96,true,2025-09-05 00:00:00+00
30,Solution - User 38 - Content 62,Solution - User 38 - Content 62,file_0030,62,38,2025-09-04 00:00:00+00,97,true,2025-09-04 00:00:00+00
31,Solution - User 9 - Content 63,Solution - User 9 - Content 63,file_0031,63,9,2025-09-09 00:00:00+00,17,true,2025-09-09 00:00:00+00
32,Solution - User 10 - Content 63,Solution - User 10 - Content 63,file_0032,63,10,2025-09-12 00:00:00+00,0,true,2025-09-12 00:00:00+00
33,Solution - User 11 - Content 63,Solution - User 11 - Content 63,file_0033,63,11,2025-09-08 00:00:00+00,12,true,2025-09-08 00:00:00+00
34,Solution - User 12 - Content 63,Solution - User 12 - Content 63,file_0034,63,12,2025-09-06 00:00:00+00,77,true,2025-09-06 00:00:00+00
35,Solution - User 13 - Content 63,Solution - User 13 - Content 63,file_0035,63,13,2025-09-04 00:00:00+00,91,true,2025-09-04 00:00:00+00
36,Solution - User 14 - Content 63,Solution - User 14 - Content 63,file_0036,63,14,2025-09-11 00:00:00+00,0,true,2025-09-11 00:00:00+00
37,Solution - User 15 - Content 63,Solution - User 15 - Content 63,file_0037,63,15,2025-09-09 00:00:00+00,49,true,2025-09-09 00:00:00+00
38,Solution - User 16 - Content 63,Solution - User 16 - Content 63,file_0038,63,16,2025-09-07 00:00:00+00,72,true,2025-09-07 00:00:00+00
39,Solution - User 17 - Content 63,Solution - User 17 - Content 63,file_0039,63,17,2025-09-07 00:00:00+00,66,true,2025-09-07 00:00:00+00
40,Solution - User 18 - Content 63,Solution - User 18 - Content 63,file_0040,63,18,2025-09-08 00:00:00+00,78,true,2025-09-08 00:00:00+00
41,Solution - User 19 - Content 63,Solution - User 19 - Content 63,file_0041,63,19,2025-09-08 00:00:00+00,91,true,2025-09-08 00:00:00+00
42,Solution - User 20 - Content 63,Solution - User 20 - Content 63,file_0042,63,20,2025-09-05 00:00:00+00,90,true,2025-09-05 00:00:00+00
43,Solution - User 21 - Content 63,Solution - User 21 - Content 63,file_0043,63,21,2025-09-06 00:00:00+00,67,true,2025-09-06 00:00:00+00
44,Solution - User 22 - Content 63,Solution - User 22 - Content 63,file_0044,63,22,2025-09-08 00:00:00+00,78,true,2025-09-08 00:00:00+00
45,Solution - User 23 - Content 63,Solution - User 23 - Content 63,file_0045,63,23,2025-09-07 00:00:00+00,79,true,2025-09-07 00:00:00+00
46,Solution - User 24 - Content 63,Solution - User 24 - Content 63,file_0046,63,24,2025-09-08 00:00:00+00,79,true,2025-09-08 00:00:00+00
47,Solution - User 25 - Content 63,Solution - User 25 - Content 63,file_0047,63,25,2025-09-07 00:00:00+00,84,true,2025-09-07 00:00:00+00
48,Solution - User 26 - Content 63,Solution - User 26 - Content 63,file_0048,63,26,2025-09-05 00:00:00+00,44,true,2025-09-05 00:00:00+00
49,Solution - User 27 - Content 63,Solution - User 27 - Content 63,file_0049,63,27,2025-09-09 00:00:00+00,80,true,2025-09-09 00:00:00+00
50,Solution - User 28 - Content 63,Solution - User 28 - Content 63,file_0050,63,28,2025-09-07 00:00:00+00,91,true,2025-09-07 00:00:00+00
51,Solution - User 29 - Content 63,Solution - User 29 - Content 63,file_0051,63,29,2025-09-03 00:00:00+00,66,true,2025-09-03 00:00:00+00
52,Solution - User 30 - Content 63,Solution - User 30 - Content 63,file_0052,63,30,2025-09-09 00:00:00+00,85,true,2025-09-09 00:00:00+00
53,Solution - User 31 - Content 63,Solution - User 31 - Content 63,file_0053,63,31,2025-09-03 00:00:00+00,84,true,2025-09-03 00:00:00+00
54,Solution - User 32 - Content 63,Solution - User 32 - Content 63,file_0054,63,32,2025-09-08 00:00:00+00,56,true,2025-09-08 00:00:00+00
55,Solution - User 33 - Content 63,Solution - User 33 - Content 63,file_0055,63,33,2025-09-03 00:00:00+00,66,true,2025-09-03 00:00:00+00
56,Solution - User 34 - Content 63,Solution - User 34 - Content 63,file_0056,63,34,2025-09-08 00:00:00+00,67,true,2025-09-08 00:00:00+00
57,Solution - User 35 - Content 63,Solution - User 35 - Content 63,file_0057,63,35,2025-09-07 00:00:00+00,59,true,2025-09-07 00:00:00+00
58,Solution - User 36 - Content 63,Solution - User 36 - Content 63,file_0058,63,36,2025-09-09 00:00:00+00,94,true,2025-09-09 00:00:00+00
59,Solution - User 37 - Content 63,Solution - User 37 - Content 63,file_0059,63,37,2025-09-07 00:00:00+00,98,true,2025-09-07 00:00:00+00
60,Solution - User 38 - Content 63,Solution - User 38 - Content 63,file_0060,63,38,2025-09-06 00:00:00+00,95,true,2025-09-06 00:00:00+00
61,Solution - User 9 - Content 64,Solution - User 9 - Content 64,file_0061,64,9,2025-09-12 00:00:00+00,26,true,2025-09-12 00:00:00+00
62,Solution - User 10 - Content 64,Solution - User 10 - Content 64,file_0062,64,10,2025-09-09 00:00:00+00,33,true,2025-09-09 00:00:00+00
63,Solution - User 11 - Content 64,Solution - User 11 - Content 64,file_0063,64,11,2025-09-18 00:00:00+00,0,true,2025-09-18 00:00:00+00
64,Solution - User 12 - Content 64,Solution - User 12 - Content 64,file_0064,64,12,2025-09-08 00:00:00+00,91,true,2025-09-08 00:00:00+00
65,Solution - User 13 - Content 64,Solution - User 13 - Content 64,file_0065,64,13,2025-09-08 00:00:00+00,53,true,2025-09-08 00:00:00+00
66,Solution - User 14 - Content 64,Solution - User 14 - Content 64,file_0066,64,14,2025-09-08 00:00:00+00,81,true,2025-09-08 00:00:00+00
67,Solution - User 15 - Content 64,Solution - User 15 - Content 64,file_0067,64,15,2025-09-10 00:00:00+00,100,true,2025-09-10 00:00:00+00
68,Solution - User 16 - Content 64,Solution - User 16 - Content 64,file_0068,64,16,2025-09-12 00:00:00+00,75,true,2025-09-12 00:00:00+00
69,Solution - User 17 - Content 64,Solution - User 17 - Content 64,file_0069,64,17,2025-09-11 00:00:00+00,32,true,2025-09-11 00:00:00+00
70,Solution - User 18 - Content 64,Solution - User 18 - Content 64,file_0070,64,18,2025-09-11 00:00:00+00,80,true,2025-09-11 00:00:00+00
71,Solution - User 19 - Content 64,Solution - User 19 - Content 64,file_0071,64,19,2025-09-11 00:00:00+00,72,true,2025-09-11 00:00:00+00
72,Solution - User 20 - Content 64,Solution - User 20 - Content 64,file_0072,64,20,2025-09-13 00:00:00+00,62,true,2025-09-13 00:00:00+00
73,Solution - User 21 - Content 64,Solution - User 21 - Content 64,file_0073,64,21,2025-09-11 00:00:00+00,81,true,2025-09-11 00:00:00+00
74,Solution - User 22 - Content 64,Solution - User 22 - Content 64,file_0074,64,22,2025-09-09 00:00:00+00,76,true,2025-09-09 00:00:00+00
75,Solution - User 23 - Content 64,Solution - User 23 - Content 64,file_0075,64,23,2025-09-11 00:00:00+00,60,true,2025-09-11 00:00:00+00
76,Solution - User 24 - Content 64,Solution - User 24 - Content 64,file_0076,64,24,2025-09-14 00:00:00+00,82,true,2025-09-14 00:00:00+00
77,Solution - User 25 - Content 64,Solution - User 25 - Content 64,file_0077,64,25,2025-09-20 00:00:00+00,0,true,2025-09-20 00:00:00+00
78,Solution - User 26 - Content 64,Solution - User 26 - Content 64,file_0078,64,26,2025-09-20 00:00:00+00,0,true,2025-09-20 00:00:00+00
79,Solution - User 27 - Content 64,Solution - User 27 - Content 64,file_0079,64,27,2025-09-14 00:00:00+00,75,true,2025-09-14 00:00:00+00
80,Solution - User 28 - Content 64,Solution - User 28 - Content 64,file_0080,64,28,2025-09-11 00:00:00+00,52,true,2025-09-11 00:00:00+00
81,Solution - User 29 - Content 64,Solution - User 29 - Content 64,file_0081,64,29,2025-09-09 00:00:00+00,83,true,2025-09-09 00:00:00+00
82,Solution - User 30 - Content 64,Solution - User 30 - Content 64,file_0082,64,30,2025-09-08 00:00:00+00,92,true,2025-09-08 00:00:00+00
83,Solution - User 31 - Content 64,Solution - User 31 - Content 64,file_0083,64,31,2025-09-10 00:00:00+00,62,true,2025-09-10 00:00:00+00
84,Solution - User 32 - Content 64,Solution - User 32 - Content 64,file_0084,64,32,2025-09-13 00:00:00+00,68,true,2025-09-13 00:00:00+00
85,Solution - User 33 - Content 64,Solution - User 33 - Content 64,file_0085,64,33,2025-09-14 00:00:00+00,53,true,2025-09-14 00:00:00+00
86,Solution - User 34 - Content 64,Solution - User 34 - Content 64,file_0086,64,34,2025-09-10 00:00:00+00,49,true,2025-09-10 00:00:00+00
87,Solution - User 35 - Content 64,Solution - User 35 - Content 64,file_0087,64,35,2025-09-08 00:00:00+00,58,true,2025-09-08 00:00:00+00
88,Solution - User 36 - Content 64,Solution - User 36 - Content 64,file_0088,64,36,2025-09-10 00:00:00+00,100,true,2025-09-10 00:00:00+00
89,Solution - User 37 - Content 64,Solution - User 37 - Content 64,file_0089,64,37,2025-09-19 00:00:00+00,0,true,2025-09-19 00:00:00+00
90,Solution - User 38 - Content 64,Solution - User 38 - Content 64,file_0090,64,38,2025-09-12 00:00:00+00,100,true,2025-09-12 00:00:00+00
91,Solution - User 9 - Content 65,Solution - User 9 - Content 65,file_0091,65,9,2025-09-22 00:00:00+00,0,true,2025-09-22 00:00:00+00
92,Solution - User 10 - Content 65,Solution - User 10 - Content 65,file_0092,65,10,2025-09-11 00:00:00+00,7,true,2025-09-11 00:00:00+00
93,Solution - User 11 - Content 65,Solution - User 11 - Content 65,file_0093,65,11,2025-09-24 00:00:00+00,0,true,2025-09-24 00:00:00+00
94,Solution - User 12 - Content 65,Solution - User 12 - Content 65,file_0094,65,12,2025-09-11 00:00:00+00,78,true,2025-09-11 00:00:00+00
95,Solution - User 13 - Content 65,Solution - User 13 - Content 65,file_0095,65,13,2025-09-13 00:00:00+00,57,true,2025-09-13 00:00:00+00
96,Solution - User 14 - Content 65,Solution - User 14 - Content 65,file_0096,65,14,2025-09-12 00:00:00+00,71,true,2025-09-12 00:00:00+00
97,Solution - User 15 - Content 65,Solution - User 15 - Content 65,file_0097,65,15,2025-09-15 00:00:00+00,67,true,2025-09-15 00:00:00+00
98,Solution - User 16 - Content 65,Solution - User 16 - Content 65,file_0098,65,16,2025-09-15 00:00:00+00,75,true,2025-09-15 00:00:00+00
99,Solution - User 17 - Content 65,Solution - User 17 - Content 65,file_0099,65,17,2025-09-12 00:00:00+00,85,true,2025-09-12 00:00:00+00
100,Solution - User 18 - Content 65,Solution - User 18 - Content 65,file_0100,65,18,2025-09-22 00:00:00+00,0,true,2025-09-22 00:00:00+00
101,Solution - User 19 - Content 65,Solution - User 19 - Content 65,file_0101,65,19,2025-09-10 00:00:00+00,68,true,2025-09-10 00:00:00+00
102,Solution - User 20 - Content 65,Solution - User 20 - Content 65,file_0102,65,20,2025-09-12 00:00:00+00,84,true,2025-09-12 00:00:00+00
103,Solution - User 21 - Content 65,Solution - User 21 - Content 65,file_0103,65,21,2025-09-11 00:00:00+00,81,true,2025-09-11 00:00:00+00
104,Solution - User 22 - Content 65,Solution - User 22 - Content 65,file_0104,65,22,2025-09-15 00:00:00+00,74,true,2025-09-15 00:00:00+00
105,Solution - User 23 - Content 65,Solution - User 23 - Content 65,file_0105,65,23,2025-09-16 00:00:00+00,82,true,2025-09-16 00:00:00+00
106,Solution - User 24 - Content 65,Solution - User 24 - Content 65,file_0106,65,24,2025-09-12 00:00:00+00,77,true,2025-09-12 00:00:00+00
107,Solution - User 25 - Content 65,Solution - User 25 - Content 65,file_0107,65,25,2025-09-19 00:00:00+00,0,true,2025-09-19 00:00:00+00
108,Solution - User 26 - Content 65,Solution - User 26 - Content 65,file_0108,65,26,2025-09-18 00:00:00+00,0,true,2025-09-18 00:00:00+00
109,Solution - User 27 - Content 65,Solution - User 27 - Content 65,file_0109,65,27,2025-09-12 00:00:00+00,48,true,2025-09-12 00:00:00+00
110,Solution - User 28 - Content 65,Solution - User 28 - Content 65,file_0110,65,28,2025-09-15 00:00:00+00,84,true,2025-09-15 00:00:00+00
111,Solution - User 29 - Content 65,Solution - User 29 - Content 65,file_0111,65,29,2025-09-15 00:00:00+00,77,true,2025-09-15 00:00:00+00
112,Solution - User 30 - Content 65,Solution - User 30 - Content 65,file_0112,65,30,2025-09-16 00:00:00+00,73,true,2025-09-16 00:00:00+00
113,Solution - User 31 - Content 65,Solution - User 31 - Content 65,file_0113,65,31,2025-09-21 00:00:00+00,0,true,2025-09-21 00:00:00+00
114,Solution - User 32 - Content 65,Solution - User 32 - Content 65,file_0114,65,32,2025-09-11 00:00:00+00,59,true,2025-09-11 00:00:00+00
115,Solution - User 33 - Content 65,Solution - User 33 - Content 65,file_0115,65,33,2025-09-12 00:00:00+00,57,true,2025-09-12 00:00:00+00
116,Solution - User 34 - Content 65,Solution - User 34 - Content 65,file_0116,65,34,2025-09-14 00:00:00+00,65,true,2025-09-14 00:00:00+00
117,Solution - User 35 - Content 65,Solution - User 35 - Content 65,file_0117,65,35,2025-09-18 00:00:00+00,0,true,2025-09-18 00:00:00+00
118,Solution - User 36 - Content 65,Solution - User 36 - Content 65,file_0118,65,36,2025-09-16 00:00:00+00,94,true,2025-09-16 00:00:00+00
119,Solution - User 37 - Content 65,Solution - User 37 - Content 65,file_0119,65,37,2025-09-11 00:00:00+00,97,true,2025-09-11 00:00:00+00
120,Solution - User 38 - Content 65,Solution - User 38 - Content 65,file_0120,65,38,2025-09-12 00:00:00+00,98,true,2025-09-12 00:00:00+00
121,Solution - User 9 - Content 66,Solution - User 9 - Content 66,file_0121,66,9,2025-09-16 00:00:00+00,16,true,2025-09-16 00:00:00+00
122,Solution - User 10 - Content 66,Solution - User 10 - Content 66,file_0122,66,10,2025-09-21 00:00:00+00,33,true,2025-09-21 00:00:00+00
123,Solution - User 11 - Content 66,Solution - User 11 - Content 66,file_0123,66,11,2025-09-18 00:00:00+00,12,true,2025-09-18 00:00:00+00
124,Solution - User 12 - Content 66,Solution - User 12 - Content 66,file_0124,66,12,2025-09-20 00:00:00+00,44,true,2025-09-20 00:00:00+00
125,Solution - User 13 - Content 66,Solution - User 13 - Content 66,file_0125,66,13,2025-09-16 00:00:00+00,58,true,2025-09-16 00:00:00+00
126,Solution - User 14 - Content 66,Solution - User 14 - Content 66,file_0126,66,14,2025-09-18 00:00:00+00,96,true,2025-09-18 00:00:00+00
127,Solution - User 15 - Content 66,Solution - User 15 - Content 66,file_0127,66,15,2025-09-25 00:00:00+00,0,true,2025-09-25 00:00:00+00
128,Solution - User 16 - Content 66,Solution - User 16 - Content 66,file_0128,66,16,2025-09-21 00:00:00+00,48,true,2025-09-21 00:00:00+00
129,Solution - User 17 - Content 66,Solution - User 17 - Content 66,file_0129,66,17,2025-09-18 00:00:00+00,68,true,2025-09-18 00:00:00+00
130,Solution - User 18 - Content 66,Solution - User 18 - Content 66,file_0130,66,18,2025-09-21 00:00:00+00,92,true,2025-09-21 00:00:00+00
131,Solution - User 19 - Content 66,Solution - User 19 - Content 66,file_0131,66,19,2025-09-17 00:00:00+00,64,true,2025-09-17 00:00:00+00
132,Solution - User 20 - Content 66,Solution - User 20 - Content 66,file_0132,66,20,2025-09-15 00:00:00+00,72,true,2025-09-15 00:00:00+00
133,Solution - User 21 - Content 66,Solution - User 21 - Content 66,file_0133,66,21,2025-09-18 00:00:00+00,95,true,2025-09-18 00:00:00+00
134,Solution - User 22 - Content 66,Solution - User 22 - Content 66,file_0134,66,22,2025-09-17 00:00:00+00,69,true,2025-09-17 00:00:00+00
135,Solution - User 23 - Content 66,Solution - User 23 - Content 66,file_0135,66,23,2025-09-19 00:00:00+00,96,true,2025-09-19 00:00:00+00
136,Solution - User 24 - Content 66,Solution - User 24 - Content 66,file_0136,66,24,2025-09-15 00:00:00+00,55,true,2025-09-15 00:00:00+00
137,Solution - User 25 - Content 66,Solution - User 25 - Content 66,file_0137,66,25,2025-09-17 00:00:00+00,78,true,2025-09-17 00:00:00+00
138,Solution - User 26 - Content 66,Solution - User 26 - Content 66,file_0138,66,26,2025-09-17 00:00:00+00,30,true,2025-09-17 00:00:00+00
139,Solution - User 27 - Content 66,Solution - User 27 - Content 66,file_0139,66,27,2025-09-26 00:00:00+00,0,true,2025-09-26 00:00:00+00
140,Solution - User 28 - Content 66,Solution - User 28 - Content 66,file_0140,66,28,2025-09-17 00:00:00+00,86,true,2025-09-17 00:00:00+00
141,Solution - User 29 - Content 66,Solution - User 29 - Content 66,file_0141,66,29,2025-09-19 00:00:00+00,95,true,2025-09-19 00:00:00+00
142,Solution - User 30 - Content 66,Solution - User 30 - Content 66,file_0142,66,30,2025-09-15 00:00:00+00,94,true,2025-09-15 00:00:00+00
143,Solution - User 31 - Content 66,Solution - User 31 - Content 66,file_0143,66,31,2025-09-15 00:00:00+00,92,true,2025-09-15 00:00:00+00
144,Solution - User 32 - Content 66,Solution - User 32 - Content 66,file_0144,66,32,2025-09-20 00:00:00+00,46,true,2025-09-20 00:00:00+00
145,Solution - User 33 - Content 66,Solution - User 33 - Content 66,file_0145,66,33,2025-09-16 00:00:00+00,59,true,2025-09-16 00:00:00+00
146,Solution - User 34 - Content 66,Solution - User 34 - Content 66,file_0146,66,34,2025-09-17 00:00:00+00,60,true,2025-09-17 00:00:00+00
147,Solution - User 35 - Content 66,Solution - User 35 - Content 66,file_0147,66,35,2025-09-20 00:00:00+00,65,true,2025-09-20 00:00:00+00
148,Solution - User 36 - Content 66,Solution - User 36 - Content 66,file_0148,66,36,2025-09-17 00:00:00+00,93,true,2025-09-17 00:00:00+00
149,Solution - User 37 - Content 66,Solution - User 37 - Content 66,file_0149,66,37,2025-09-18 00:00:00+00,100,true,2025-09-18 00:00:00+00
150,Solution - User 38 - Content 66,Solution - User 38 - Content 66,file_0150,66,38,2025-09-17 00:00:00+00,97,true,2025-09-17 00:00:00+00
151,Solution - User 9 - Content 67,Solution - User 9 - Content 67,file_0151,67,9,2025-09-28 00:00:00+00,0,true,2025-09-28 00:00:00+00
152,Solution - User 10 - Content 67,Solution - User 10 - Content 67,file_0152,67,10,2025-09-23 00:00:00+00,26,true,2025-09-23 00:00:00+00
153,Solution - User 11 - Content 67,Solution - User 11 - Content 67,file_0153,67,11,2025-09-22 00:00:00+00,28,true,2025-09-22 00:00:00+00
154,Solution - User 12 - Content 67,Solution - User 12 - Content 67,file_0154,67,12,2025-09-18 00:00:00+00,44,true,2025-09-18 00:00:00+00
155,Solution - User 13 - Content 67,Solution - User 13 - Content 67,file_0155,67,13,2025-09-21 00:00:00+00,74,true,2025-09-21 00:00:00+00
156,Solution - User 14 - Content 67,Solution - User 14 - Content 67,file_0156,67,14,2025-09-22 00:00:00+00,71,true,2025-09-22 00:00:00+00
157,Solution - User 15 - Content 67,Solution - User 15 - Content 67,file_0157,67,15,2025-09-20 00:00:00+00,73,true,2025-09-20 00:00:00+00
158,Solution - User 16 - Content 67,Solution - User 16 - Content 67,file_0158,67,16,2025-09-19 00:00:00+00,55,true,2025-09-19 00:00:00+00
159,Solution - User 17 - Content 67,Solution - User 17 - Content 67,file_0159,67,17,2025-09-22 00:00:00+00,54,true,2025-09-22 00:00:00+00
160,Solution - User 18 - Content 67,Solution - User 18 - Content 67,file_0160,67,18,2025-09-18 00:00:00+00,43,true,2025-09-18 00:00:00+00
161,Solution - User 19 - Content 67,Solution - User 19 - Content 67,file_0161,67,19,2025-09-18 00:00:00+00,75,true,2025-09-18 00:00:00+00
162,Solution - User 20 - Content 67,Solution - User 20 - Content 67,file_0162,67,20,2025-09-23 00:00:00+00,85,true,2025-09-23 00:00:00+00
163,Solution - User 21 - Content 67,Solution - User 21 - Content 67,file_0163,67,21,2025-09-20 00:00:00+00,79,true,2025-09-20 00:00:00+00
164,Solution - User 22 - Content 67,Solution - User 22 - Content 67,file_0164,67,22,2025-09-22 00:00:00+00,66,true,2025-09-22 00:00:00+00
165,Solution - User 23 - Content 67,Solution - User 23 - Content 67,file_0165,67,23,2025-09-20 00:00:00+00,85,true,2025-09-20 00:00:00+00
166,Solution - User 24 - Content 67,Solution - User 24 - Content 67,file_0166,67,24,2025-09-25 00:00:00+00,0,true,2025-09-25 00:00:00+00
167,Solution - User 25 - Content 67,Solution - User 25 - Content 67,file_0167,67,25,2025-09-18 00:00:00+00,49,true,2025-09-18 00:00:00+00
168,Solution - User 26 - Content 67,Solution - User 26 - Content 67,file_0168,67,26,2025-09-17 00:00:00+00,97,true,2025-09-17 00:00:00+00
169,Solution - User 27 - Content 67,Solution - User 27 - Content 67,file_0169,67,27,2025-09-23 00:00:00+00,92,true,2025-09-23 00:00:00+00
170,Solution - User 28 - Content 67,Solution - User 28 - Content 67,file_0170,67,28,2025-09-23 00:00:00+00,28,true,2025-09-23 00:00:00+00
171,Solution - User 29 - Content 67,Solution - User 29 - Content 67,file_0171,67,29,2025-09-21 00:00:00+00,93,true,2025-09-21 00:00:00+00
172,Solution - User 30 - Content 67,Solution - User 30 - Content 67,file_0172,67,30,2025-09-20 00:00:00+00,91,true,2025-09-20 00:00:00+00
173,Solution - User 31 - Content 67,Solution - User 31 - Content 67,file_0173,67,31,2025-09-22 00:00:00+00,77,true,2025-09-22 00:00:00+00
174,Solution - User 32 - Content 67,Solution - User 32 - Content 67,file_0174,67,32,2025-09-20 00:00:00+00,65,true,2025-09-20 00:00:00+00
175,Solution - User 33 - Content 67,Solution - User 33 - Content 67,file_0175,67,33,2025-09-22 00:00:00+00,56,true,2025-09-22 00:00:00+00
176,Solution - User 34 - Content 67,Solution - User 34 - Content 67,file_0176,67,34,2025-09-23 00:00:00+00,68,true,2025-09-23 00:00:00+00
177,Solution - User 35 - Content 67,Solution - User 35 - Content 67,file_0177,67,35,2025-09-23 00:00:00+00,58,true,2025-09-23 00:00:00+00
178,Solution - User 36 - Content 67,Solution - User 36 - Content 67,file_0178,67,36,2025-09-18 00:00:00+00,100,true,2025-09-18 00:00:00+00
179,Solution - User 37 - Content 67,Solution - User 37 - Content 67,file_0179,67,37,2025-09-22 00:00:00+00,96,true,2025-09-22 00:00:00+00
180,Solution - User 38 - Content 67,Solution - User 38 - Content 67,file_0180,67,38,2025-09-19 00:00:00+00,96,true,2025-09-19 00:00:00+00
181,Solution - User 9 - Content 68,Solution - User 9 - Content 68,file_0181,68,9,2025-09-23 00:00:00+00,15,true,2025-09-23 00:00:00+00
182,Solution - User 10 - Content 68,Solution - User 10 - Content 68,file_0182,68,10,2025-10-03 00:00:00+00,0,true,2025-10-03 00:00:00+00
183,Solution - User 11 - Content 68,Solution - User 11 - Content 68,file_0183,68,11,2025-10-01 00:00:00+00,0,true,2025-10-01 00:00:00+00
184,Solution - User 12 - Content 68,Solution - User 12 - Content 68,file_0184,68,12,2025-09-25 00:00:00+00,87,true,2025-09-25 00:00:00+00
185,Solution - User 13 - Content 68,Solution - User 13 - Content 68,file_0185,68,13,2025-09-28 00:00:00+00,82,true,2025-09-28 00:00:00+00
186,Solution - User 14 - Content 68,Solution - User 14 - Content 68,file_0186,68,14,2025-09-27 00:00:00+00,59,true,2025-09-27 00:00:00+00
187,Solution - User 15 - Content 68,Solution - User 15 - Content 68,file_0187,68,15,2025-10-04 00:00:00+00,0,true,2025-10-04 00:00:00+00
188,Solution - User 16 - Content 68,Solution - User 16 - Content 68,file_0188,68,16,2025-09-25 00:00:00+00,41,true,2025-09-25 00:00:00+00
189,Solution - User 17 - Content 68,Solution - User 17 - Content 68,file_0189,68,17,2025-09-28 00:00:00+00,79,true,2025-09-28 00:00:00+00
190,Solution - User 18 - Content 68,Solution - User 18 - Content 68,file_0190,68,18,2025-09-26 00:00:00+00,64,true,2025-09-26 00:00:00+00
